created_at,text
2021-03-05 03:31:17,b'RT @MoHFW_INDIA: #LargestVaccineDrive #Unite2FightCorona\n\nIn picture: Happy senior citizens from Tripura after their #FirstDose of #COVIDVa\xe2\x80\xa6'
2021-03-05 03:31:09,"b'RT @THE_Russell: Morrison\'s favourite kidney doctor who has no qualifications nor experience in epidemiology, lectures us on how good the ""\xe2\x80\xa6'"
2021-03-05 03:30:34,"b'RT @barandbench: Why restricted COVID-19 vaccination in India when vaccines are being donated, sold to foreign countries: Delhi High Court\xe2\x80\xa6'"
2021-03-05 03:30:25,b'RT @toppioneers: Find Health Insurance Now!\n\nhttps://t.co/Hmwi7KYF0J\n\n#AEWDynamite #AEWDyanmite #AEW #MAFS #MarriedAtFirstSight #TheChallen\xe2\x80\xa6'
2021-03-05 03:30:14,b'RT @AlexMMTri: Such an honor to chat w @luckytran @RachelAlter007 on @MarchForScience #LetsGetFACTSincated webinar discussing #johnsonandjo\xe2\x80\xa6'
2021-03-05 03:30:06,b'RT @Dr_RShatsky: #bcsm Had a pt. misinterpret a recent news story today so I realized I want to clear up this up to all who will listen. A\xe2\x80\xa6'
2021-03-05 03:30:05,"b'RT @thenewsminute: \xe2\x80\x98Covaxin shows efficacy, no need to hesitate to take shot\xe2\x80\x99: #Kerala CM #Pinarayi  \n#Covaxin #CovidVaccine #ICMR\nhttps://\xe2\x80\xa6'"
2021-03-05 03:30:00,"b'\xe2\x80\x98Covaxin shows efficacy, no need to hesitate to take shot\xe2\x80\x99: #Kerala CM #Pinarayi  \n#Covaxin #CovidVaccine #ICMR\nhttps://t.co/dxGvpyb4FZ'"
2021-03-05 03:29:58,b'RT @toppioneers: Save Money on Health Insurance!\n\nhttps://t.co/oj1Fea9kgs\n\n#AEWDynamite #AEWDyanmite #AEW #MAFS #MarriedAtFirstSight #TheCh\xe2\x80\xa6'
2021-03-05 03:29:40,b'RT @AlexMMTri: Such an honor to chat w @luckytran @RachelAlter007 on @MarchForScience #LetsGetFACTSincated webinar discussing #johnsonandjo\xe2\x80\xa6'
2021-03-05 03:29:27,b'RT @uihealthcare: Should you wait to get your COVID-19 vaccine until a specific kind is available to you? Find out from infectious disease\xe2\x80\xa6'
2021-03-05 03:29:15,b'RT @CNOEngland: Staff health &amp; wellbeing is a priority. You\xe2\x80\x99ve spent the last year at the forefront of #covid care for others\xe2\x80\xa6 it\xe2\x80\x99s vital y\xe2\x80\xa6'
2021-03-05 03:29:03,b'#Reliance vows to pay for #COVID19 vaccination of employees and family\n@ril_foundation #NitaMAmbani #MukeshAmbani\xe2\x80\xa6 https://t.co/dudNjp023o'
2021-03-05 03:27:57,b'RT @KPSCALnews: Yesterday was a big day at the @calpolypomona vaccination site! Second doses of vaccines were given to people who got their\xe2\x80\xa6'
2021-03-05 03:27:29,b'RT @jkwan_md: MAR 4: #CovidVaccine in Ontario\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\nTotal vaccinations: 784828 (+30409)\n\xf0\x9f\x92\x89delivered: 1076445 (as of Mar 4)\n\xf0\x9f\x92\x89freezer/fridge: 2916\xe2\x80\xa6'
2021-03-05 03:27:21,"b'RT @manojsinha_: Today received First Dose of #COVIDVaccine at Government Medical College Hospital, Jammu. My appeal to all eligible person\xe2\x80\xa6'"
2021-03-05 03:26:56,b'Such an honor to chat w @luckytran @RachelAlter007 on @MarchForScience #LetsGetFACTSincated webinar discussing\xe2\x80\xa6 https://t.co/B6uAzheqlg'
2021-03-05 03:26:12,b'https://t.co/JwythGleK3 - amazing #COVIDVaccine resource \n\n#ThisIsOurShot\n\nhttps://t.co/ATBGpRp7XO'
2021-03-05 03:26:01,"b""RT @ChhayaPachauli: What ?! \xf0\x9f\x99\x86\xf0\x9f\x8f\xbb Why should health workers be paying for the 2nd dose of #COVID19Vaccine ? Didn't the govt. promise free #Cov\xe2\x80\xa6"""
2021-03-05 03:25:15,b'Done \xe2\x9c\x85\xf0\x9f\x92\x89 #CovidVaccine'
2021-03-05 03:25:06,b'RT @WADeptHealth: The #COVIDvaccine will be available to more people in the coming weeks. Go to https://t.co/gv9p4vEZ8H to get notified whe\xe2\x80\xa6'
2021-03-05 03:24:44,"b'RT @ProfDanielKim: Thank you Dr. Melissa Moore @mooreorless62 for an amazing talk on #mRNA as Medicine at our @ucsc RNA Club today, congrat\xe2\x80\xa6'"
2021-03-05 03:24:40,"b'RT @RT_MediaAdvPbCM: Got my #CovidVaccine shot at Civil Hospital, Mohali. Feeling fine and looking forward to the next level of protection\xe2\x80\xa6'"
2021-03-05 03:24:35,b'Dear @ScottMorrisonMP. \nEvery American will be able to be vaccinated by the end of May. \nI want to travel. \nWhere i\xe2\x80\xa6 https://t.co/qRHLMkl5vs'
2021-03-05 03:24:34,b'Florida officials accused of prioritizing wealthy seniors for coronavirus vaccines\n#World #Politics #Health\xe2\x80\xa6 https://t.co/oVjVM8vbv9'
2021-03-05 03:24:09,"b""RT @dt_next: Will Covaxin's efficacy results build more confidence in people to get vaccinated against COVID-19?\n\n#COVID19 #COVID19Vaccine\xe2\x80\xa6"""
2021-03-05 03:24:06,b'RT @Vaxyourfam: \xe2\x80\x9cAn Uncertain Public\xe2\x80\x94Encouraging Acceptance of COVID-19 Vaccines\xe2\x80\x9d - via @NEJM - https://t.co/az1flaWwS7\n--\n#COVID19 #covidv\xe2\x80\xa6'
2021-03-05 03:24:04,"b""Will Covaxin's efficacy results build more confidence in people to get vaccinated against COVID-19?\n\n#COVID19\xe2\x80\xa6 https://t.co/IBuaW22dtc"""
2021-03-05 03:23:40,b'RT @shaikubaid: New Yorkers be safe https://t.co/4NilMIxkXa #COVID19 #CovidVaccine'
